Timestamp,Date,Currency,AmtLC,DebitAccount,CreditAccount,Comment,Party,Location,Ledger,Flags,SubmittedBy,Device,IP,EntryID
17.07.2026 06:59:00,16.07.2026,EUR,13,Life PG,SQ WS EUR PG (#315),"Drinks & Kaffee, Snack",Union Lido: Marino,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-77fe0e24ab
17.07.2026 06:59:00,16.07.2026,EUR,14.5,Life PG,SQ WS EUR PG (#315),Drinks & Kaffee,Union Lido: Marino,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-0026d5795b
17.07.2026 07:00:00,16.07.2026,EUR,49.06,Groceries PG,SQ WS EUR PG (#315),Einkauf Lebensmittel,Union Lido: Tourist Market,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-28d51bc79f
17.07.2026 07:00:00,16.07.2026,EUR,11,Sport & Hobbies & Leisure PG,SQ WS EUR PG (#315),Schwimmbrille,Camping Market,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-379eabd312
17.07.2026 07:01:00,16.07.2026,EUR,14.41,Groceries PG,SQ WS EUR PG (#315),Einkauf Lebensmittel,Union Lido: Tourist Market,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-72ee8e5c87
17.07.2026 07:01:00,16.07.2026,EUR,56,Restaurants (Family) PG,SQ WS EUR PG (#315),#LL3,Union Lido: Sole e Natura,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-c54d64852e
18.07.2026 06:33:00,18.07.2026,EUR,3.9,Vacation & Leisure PG,SQ WS EUR PG (#315),Abo,Tollbird,,PG,,device-a23f52a4,"iPhone | 402x874 | de-DE | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",104.28.42.96,e-f438afc6ab
18.07.2026 07:19:00,17.07.2026,EUR,11.77,Groceries PG,CC TCS PG,Einkauf Lebensmittel,Union Lido,IT-Cavallino,VP,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",104.28.42.96,e-b28719b980
18.07.2026 07:28:00,17.07.2026,EUR,14,Life PG,SQ WS EUR PG (#315),Drinks & Kaffee,Union Lido: Ginngerbread,IT-Cavallino,PG,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",104.28.42.96,e-1fabaef099
18.07.2026 07:29:00,17.07.2026,EUR,9.7,Life PG,SQ WS EUR PG (#315),Snack,Union Lido: Ca‘Rustica,IT-Cavallino,PG,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",104.28.42.96,e-490c5edd98
18.07.2026 07:30:00,17.07.2026,CHF,58.65,Restaurants (Family) PG,SQ WS CHF PG (#315),#LL3,Union Lido: Le Delizie,IT-Cavallino,PG,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",104.28.42.96,e-dc22887935
18.07.2026 07:31:00,17.07.2026,EUR,8.3,Groceries PG,SQ WS EUR PG (#315),Einkauf Lebensmittel,Union Lido: Panificio Vianello,IT-Cavallino,PG,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",104.28.42.96,e-4ca9a1ab38
18.07.2026 08:18:52,18.07.2026,EUR,9.8,Groceries PG,SQ WS EUR PG (#315),Einkauf Lebensmittel,Union Lido: Panificio Vianello,IT-Cavallino,PG,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",172.225.27.74,e-bae78e936c
18.07.2026 16:43:51,18.07.2026,EUR,93.9,Restaurants (Family) PG,SQ WS EUR PG (#315),#LL3,Xenia,IT-Cavallino,PG,,device-a23f52a4,"iPhone | 402x874 | de-DE | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",104.28.42.100,e-cf7b5c1812
18.07.2026 19:48:50,18.07.2026,EUR,20,Life PG,Cash EUR,Achterbahnen,Union Lido,IT-Cavallino,PG,,device-a23f52a4,"iPhone | 402x874 | de-DE | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",104.28.42.100,e-df9075dd6d
18.07.2026 19:57:44,18.07.2026,EUR,18.9,Vacation & Leisure PG,SQ WS EUR PG (#315),Campingplatz,Union Lido,IT-Cavallino,PG,,device-a23f52a4,"iPhone | 402x874 | de-DE | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",104.28.42.100,e-2a3e225112
18.07.2026 19:58:54,18.07.2026,EUR,206.70,Vacation & Leisure PG,Revolut PG,Campingplatz (via Meiner - Leading Camping Card),Union Lido,IT-Cavallino,PG,,device-a23f52a4,"iPhone | 402x874 | de-DE | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",104.28.42.100,e-7db7f73193
19.07.2026 07:22:05,18.07.2026,EUR,23,Groceries PG,SQ WS EUR PG (#315),Einkauf Lebensmittel | Geburtstagkuchen SE,Union Lido,IT-Cavallino,VP,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",172.225.26.28,e-9fb7438528
19.07.2026 07:22:44,18.07.2026,EUR,2.5,Life PG,SQ WS EUR PG (#315),Snack,Union Lido,IT-Cavallino,VP,,device-1892545d,"MacIntel | 1032x1376 | de-DE | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",172.225.26.28,e-889cabb7ad
19.07.2026 16:28:54,19.07.2026,EUR,103,Vacation & Leisure PG,SQ WS EUR PG (#315),Tanken WoMo (50.51 Liter),Delta Energy,IT-Borgo Valsugana,PG,,device-a23f52a4,"iPhone | 402x874 | de-DE | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",140.248.36.39,e-2630dce692
19.07.2026 16:30:46,19.07.2026,EUR,10.5,Life PG,SQ WS EUR PG (#315),Snack,Lago Levico Camping Village,IT-Levico Therme,PG,,device-a23f52a4,"iPhone | 402x874 | de-DE | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",140.248.36.38,e-9bef40a753
01.06.2026 15:05:43,01.06.2026,CHF,17,Restaurants PG,CC TCS PG,#LL1,Bean & Balls,Winterthur,PG,,bulk-import,manual CSV import,,e-0ae888c0ed
01.06.2026 17:21:23,01.06.2026,CHF,3.75,Life PG,CC TCS PG,Snack,Coop,Zürich,PG,,bulk-import,manual CSV import,,e-4800106bcb
01.06.2026 20:37:20,01.06.2026,CHF,16.2,Mobility Expenses PG,Gutschein SBB PG,Niederhasli-Winterthur-Zürich-Niederhasli (oder umgekehrt),SBB,,PG,,bulk-import,manual CSV import,,e-e4c3a36266
02.06.2026 12:56:32,02.06.2026,CHF,20.8,Restaurants PG,CC TCS PG,#LL1,Sprüngli,Zürich,PG,,bulk-import,manual CSV import,,e-28d0c71308
02.06.2026 18:00:45,02.06.2026,CHF,1.75,Life PG,CC TCS PG,Drinks & Kaffee,Avec,Lachen SZ,PG,,bulk-import,manual CSV import,,e-23353077e4
